299,Sai,Black Hair,Male,"['Artist', 'Gloves', 'Headband', 'Ninja']",Anime,Manga
131,Yuzuru OTONASHI,Orange Hair,Male,['Amnesia'],"['Angel Beats!', 'Angel Beats! Another Epilogue', ""Angel Beats! Hell's Kitchen"", 'Angel Beats! Stairway to Heaven']",['Angel Beats! The 4-koma: Bokura no Sensen Koushinkyoku']
132,Mei MISAKI,Black Hair,Female,"['Artist', 'Eye Patch', 'Kuudere', 'Middle School Student', 'Teenager']","['Another', 'Another 0-kan', 'Another: Misaki Mei - Shizuka ni']","['Another', 'Another 2001 (Novel)', 'Another (Light Novel)']"
133,Juuzou SUZUYA,,Male,"['Bloodthirsty', 'Detective', 'Knife Fighter', 'Police', 'Scar']","['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re', 'Tokyo Ghoul:re 2nd Season']","['Tokyo Ghoul', 'Tokyo Ghoul [Joker]', 'Tokyo Ghoul:re']"
134,Tony Tony Chopper,Brown Hair,Male,"['Animal', 'Anthropomorphic', 'Deer', 'Doctor', 'Hat', 'Pirate', 'Sailor', 'Superpowers', 'Sweet Tooth']","['ARASHI: A-RA-SHI : Reborn', 'Fanta x One Piece', 'Hungry Days x Bump of Chicken: Kinen Satsuei', 'Hungry Days x One Piece', 'Kyuutai Panic Adventure Returns!', 'Look Plus x One Piece CM', 'Nissan Serena x One Piece 3D: Mugiwara Chase', 'One Piece', ""One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!"", 'One Piece 3D: Mugiwara Chase', 'One Piece: Adventure of Nebulandia', 'One Piece: Annecy Festival 60th Anniversary', 'One Piece: Cry Heart', 'One Piece: Dream Soccer King!', 'One Piece: Episode of East Blue', 'One Piece: Episode of Luffy - Hand Island no Bouken', 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari', 'One Piece: Episode of Sabo', 'One Piece: Episode of Skypiea', 'One Piece Film: Gold', 'One Piece Film: Gold - Cine Mike Popcorn Kokuchi', 'One Piece Film: Gold ~Episode 0~ 711 ver.', 'One Piece Film: Red', 'One Piece Film: Z', 'One Piece Movie 10: Strong World', 'One Piece Movie 14: Stampede', 'One Piece Movie 3: Chopper Kingdom of Strange Animal Island', 'One Piece Movie 4: Dead End Adventure', 'One Piece Movie 5: The Curse of the Sacred Sword', 'One Piece Movie 6: Baron Omatsuri and the Secret Island', ""One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier"", 'One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta', 'One Piece Movie 9: Episode of Chopper - The Miracle Winter Cherry Blossom', 'One Piece Recap', 'One Piece: Romance Dawn Story', ""One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!"", 'One Piece Special 3: Protect! The Last Great Stage', 'One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy', 'One Piece Special: Glorious Island', 'One Piece Special: Heart of Gold', 'One Piece: Straw Hat Theater', 'One Piece: Strong World - Episode 0', 'One Piece: Take Aim! The Pirate Baseball King', 'One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue', 'Tokyo One Piece Tower: Tongari Shima no Dai Hihou', 'Toriko x One Piece Collabo Special', 'Toriko x One Piece Collabo Special 2']","['Chopperman', 'Chopperman: Yuke Yuke! Minna no Chopper-sensei', 'Cross Epoch', 'One Piece', 'One Piece Gakuen', 'One Piece Party', 'One Piece x Toriko: Jisshoku! Akuma no Mi!!']"
135,Renji ABARAI,Red Hair,Male,"['Agent of the Afterlife', 'Headband', 'Ponytail', 'Shinigami', 'Sword Fighter', 'Tattoo']","['Bleach', 'Bleach: Jump Festa 2008 Special', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach Movie 4: Hell Verse', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach 4-koma: Komaburi', 'Bleach: The Death Save the Strawberry (Light Novel)', 'Bleach: The Honey Dish Rhapsody (Light Novel)', 'Bleach Unmasked Short Stories']"
136,Holo,Brown Hair,Female,"['Animal Ears', 'Big Eater', 'Deity', 'Heavy Drinker', 'Human Guise', 'Immortal', 'Mischievous', 'Tail', 'Traveler', 'Verbal Tic', 'Wolf']","['Eromanga Sensei', 'Spice and Wolf', 'Spice and Wolf II', 'Spice and Wolf II OVA', 'Spice and Wolf II Specials', 'Spice and Wolf VR']","['Spice and Wolf', 'Spice and Wolf (Light Novel)']"
137,All Might,Blonde Hair,Male,"['Adult', 'Anti-Gravity Hair', 'Charismatic', 'Eye Bags', 'Masked Hero', 'Muscular', 'Scar', 'Sickly', 'Superpowers', 'Teacher']","['My Hero Academia', 'My Hero Academia 2', 'My Hero Academia 3', 'My Hero Academia 4', 'My Hero Academia 5', 'My Hero Academia 6', 'My Hero Academia - All Might: Rising The Animation', 'My Hero Academia: Hero Notebook', 'My Hero Academia: Jump Festa 2016 Special', 'My Hero Academia: Make It! Do-or-Die Survival Training', 'My Hero Academia Movie 2: Heroes:Rising', ""My Hero Academia Movie 3: World Heroes' Mission"", 'My Hero Academia Movie: Two Heroes', 'My Hero Academia Movie: Two Heroes Picture Drama', 'My Hero Academia: Training of the Dead', 'My Hero Academia (Web)', 'Peace Sign']","['Deadpool: Samurai', 'My Hero Academia', 'My Hero Academia: All Might Rising', 'My Hero Academia: Kitto Daremo ga Dareka no Hero', 'My Hero Academia Movie 2: Heroes:Rising (Light Novel)', 'My Hero Academia Movie: Two Heroes (Light Novel)', 'My Hero Academia: Vigilantes']"
138,Shinigami,,Male,"['Agent of the Afterlife', 'Masks', 'School Principal', 'Scythe Wielder', 'Shinigami']",['Soul Eater'],"['Soul Eater', 'Soul Eater Not!']"
139,Revy,Purple Hair,Female,"['Adult', 'Bloodthirsty', 'Dual Wielder', 'Gloves', 'Gunslinger', 'Heavy Drinker', 'Hot-Headed', 'Mercenary', 'Ponytail', 'Smoker', 'Tattoo']","['Black Lagoon', ""Black Lagoon: Roberta's Blood Trail"", 'Black Lagoon Specials', 'Black Lagoon: The Second Barrage']","['Black Lagoon', 'Black Lagoon (Light Novel)']"
140,Nagisa SHIOTA,Blue Hair,Male,"['Analytical', 'Assassin', 'Middle School Student', 'Teenager']","['Assassination Classroom', 'Assassination Classroom 2nd Season', 'Assassination Classroom 2nd Season: Kagaijugyou-hen', 'Assassination Classroom Episode 0: Meeting Time', 'Assassination Classroom: Jump Festa 2013 Special', ""Assassination Classroom The Movie: 365 Days' Time"", 'Koro-sensei Q!', 'Koro-sensei Quest!']",['Assassination Classroom']
141,Shanks,Red Hair,Male,"['Adult', 'Facial Hair', 'Pirate', 'Sailor', 'Scar', 'Sword Fighter']","['Hungry Days x Bump of Chicken: Kinen Satsuei', 'Hungry Days x One Piece', 'One Piece', 'One Piece 3D: Mugiwara Chase', 'One Piece: Episode of East Blue', 'One Piece: Episode of Luffy - Hand Island no Bouken', 'One Piece Film: Red', 'One Piece Movie 4: Dead End Adventure', 'One Piece Recap', 'One Piece: Romance Dawn Story', 'One Piece: Strong World - Episode 0']","['One Piece', 'One Piece episode A', 'One Piece: Strong World', 'Romance Dawn']"
142,Genos,Blonde Hair,Male,"['Cyborg', 'Piercings', 'Teenager', 'Vengeful']","['Go! Saitama', 'One-Punch Man', 'One-Punch Man 2', 'One-Punch Man Recap', 'One-Punch Man: Road to Hero', 'One-Punch Man Specials']","['One-Punch Man', 'One-Punch Man (Webcomic)']"
143,Izumi CURTIS,Black Hair,Female,"['Adult', 'Alchemist', 'Dreadlocks', 'Hot-Headed', 'Martial Artist', 'Merchant', 'Ponytail', 'Sickly', 'Tattoo', 'Teacher']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa']",['Fullmetal Alchemist']
144,Yoko LITTNER,Red Hair,Female,"['Gloves', 'Gunslinger', 'Ponytail', 'Scantily-clad', 'Scarf']","[""Gurren Lagann Movie 1: Childhood's End"", 'Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Kirameki Yoko Box ~Pieces of Sweet Stars~', 'Tengen Toppa Gurren Lagann: Lagann-hen', 'Tengen Toppa Gurren Lagann OVA', 'Tengen Toppa Gurren Lagann Parallel Works', 'Tengen Toppa Gurren Lagann Parallel Works 2']","['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: 4-koma Kingdom - Yoko no Oheso-hen', 'Tengen Toppa Gurren Lagann: Guren Gakuenhen', 'Tengen Toppa Gurren Lagann (Light Novel)', 'Tengen Toppa Gurren Lagann: Rasen Shounentan']"
145,Hitagi SENJOGAHARA,Purple Hair,Female,"['High School Student', 'Teenager', 'Unconventional Weapon']","['Bakemonogatari', 'Bakemonogatari Recap', 'Bakemonogatari Shaft Seisaku Tokubetsu PV', 'Hanamonogatari', 'Koyomi History', 'Koyomimonogatari', 'Monogatari Series: Second Season', 'Nekomonogatari (Black)', 'Nisekoimonogatari', 'Nisemonogatari', 'Owarimonogatari', 'Owarimonogatari II', 'Owarimonogatari II Recaps', 'Puella Magi Madoka Magica: Magica Quartet x Nisioisin', 'Tsukimonogatari', 'Zoku Owarimonogatari']","['Bakemonogatari', 'Bakemonogatari: Monster Tale (Light Novel)', 'Koimonogatari: Love Tale (Light Novel)', 'Koyomimonogatari: Calendar Tale (Light Novel)', 'Musubimonogatari (Light Novel)', 'Nisemonogatari: Fake Tale (Light Novel)', 'Seishun Kijinden! 240 Gakuen', 'Shinobumonogatari (Light Novel)']"
146,Ban,Blue Hair,Male,"['Adult', 'Cook', 'Heavy Drinker', 'Immortal', 'Magic User', 'Scar', 'Tattoo', 'Thief']","['Gekidan Nanatsu no Taizai', 'The Seven Deadly Sins', ""The Seven Deadly Sins: Dragon's Judgement"", 'The Seven Deadly Sins: Imperial Wrath of the Gods', 'The Seven Deadly Sins Movie 2: Cursed by Light', 'The Seven Deadly Sins Movie: Prisoners of the Sky', 'The Seven Deadly Sins OVA', 'The Seven Deadly Sins: Revival of the Commandments', 'The Seven Deadly Sins: Revival of the Commandments OVA', 'The Seven Deadly Sins: Revival of the Commandments Prologue', 'The Seven Deadly Sins: Signs of Holy War']","['Fairy Tail x The Seven Deadly Sins Christmas Special', 'The Seven Deadly Sins', 'The Seven Deadly Sins Academy', ""The Seven Deadly Sins: King's Road to Manga"", 'The Seven Deadly Sins Production', 'The Seven Deadly Sins: Seven Days', 'The Seven Deadly Sins: Seven Days (Light Novel)', 'The Seven Deadly Sins: The Vampires of Edinburgh']"
147,Yui,Black Hair,Female,"['Artificial Intelligence (AI)', 'Barefoot']","['Sword Art Online', 'Sword Art Online: Alicization', 'Sword Art Online: Alicization - Reflection', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld: Part II', 'Sword Art Online: Extra Edition', 'Sword Art Online II', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online Movie: Ordinal Scale', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Sword Art Offline - Extra Edition']","['Sword Art Online: Aincrad', 'Sword Art Online: Aincrad Night of Kirito', 'Sword Art Online: Calibur', 'Sword Art Online: Celeste no Yousei (Light Novel)', 'Sword Art Online (Light Novel)', 'Sword Art Online SS: Calibur SS-han (Light Novel)']"
148,Annie LEONHART,Blonde Hair,Female,"['Martial Artist', 'Military', 'Stoic', 'Sword Fighter']","['Ai Higuchi: Akuma no Ko', 'Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season: Part II', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan Picture Drama', 'Attack on Titan: Since That Day', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II']","['Attack on Titan', 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan: Lost Girls (Light Novel)', 'Spoof on Titan']"
149,Greed,Black Hair,Male,"['Armor', 'Immortal', 'Selfish', 'Sunglasses', 'Superpowers']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections']","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
150,Yu NISHINOYA,Multicolored Hair,Male,"['Airhead', 'Athlete', 'High School Student', 'Teenager', 'Volleyball Player']","['Haikyuu!!', 'Haikyuu!! Karasuno High School vs Shiratorizawa Academy', 'Haikyuu!! Lev Kenzan!', 'Haikyuu!! Movie 1: Owari to Hajimari', 'Haikyuu!! Movie 2: Shousha to Haisha', 'Haikyuu!! Movie 3: Talent and Sense', 'Haikyuu!! Movie 4: Battle of Concepts', 'Haikyuu!! Second Season', 'Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun', 'Haikyuu!! To the Top', 'Haikyuu!! To the Top: Part II']","['Haikyuu!!', 'Haikyuu!! A Party Reignited', 'Haikyuu!! Shousetsuban!! Karasuno Koukou (Light Novel)', ""Let's! Haikyuu!?"", 'Nisekyuu!!']"
151,Allen WALKER,White Hair,Male,"['Big Eater', 'Cursebearer', 'Demon Hunter', 'Exorcist', 'Orphan', 'Scar', 'Teenager']","['D.Gray-man', 'D.Gray-man Hallow']","['D.Gray-Man', 'D.Gray-Man Reverse (Light Novel)']"
152,Yui,Pink Hair,Female,"['Band Member', 'Hair Antenna', 'Hair Ribbons', 'Hyperactive', 'Snaggletooth', 'Tail']","['Angel Beats!', ""Angel Beats! Hell's Kitchen"", 'Angel Beats! Stairway to Heaven', 'Kaginado Season 2']","['Angel Beats! The 4-koma: Bokura no Sensen Koushinkyoku', 'Angel Beats! The 4-koma: Osora no Shinda Sekai kara']"
153,Gin ICHIMARU,Grey Hair,Male,"['Agent of the Afterlife', 'Closed Eyes', 'Kansai Dialect', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach Unmasked Short Stories']"
154,Osamu DAZAI,Brown Hair,Male,"['Adult', 'Analytical', 'Bandages', 'Detective', 'Mischievous', 'Superpowers']","['Bungo Stray Dogs', 'Bungo Stray Dogs 2nd Season', 'Bungo Stray Dogs 3rd Season', 'Bungo Stray Dogs Movie: Dead Apple', 'Bungo Stray Dogs: Walking Alone', 'Bungo Stray Dogs Wan!']","['Bungo Stray Dogs', 'Bungo Stray Dogs (Light Novel)', 'Bungo Stray Dogs: Wan!']"
155,Tohru HONDA,Brown Hair,Female,"['Airhead', 'Clumsy', 'Cook', 'Eternal Optimist', 'Hair Ribbons', 'High School Student', 'Orphan', 'Part Time Employee', 'Poor', 'Teenager']","['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season', 'Fruits Basket: Prelude', 'Fruits Basket the Final Season']","['Fruits Basket', 'Fruits Basket Another']"
156,Deidara,Blonde Hair,Male,"['Artist', 'Big Ego', 'Blinding Bangs', 'Earth Powers', 'Elemental Powers', 'Explosives Expert', 'Headband', 'Hot-Headed', 'Ninja', 'Ponytail', 'Verbal Tic']","['Naruto Shippuden', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals']","['Naruto', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
157,Jellal FERNANDES,Blue Hair,Male,"['Darkness Powers', 'Elemental Powers', 'Face Markings', 'Magic User']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail: Final Season', 'Fairy Tail OVA']","['Fairy Tail', 'Fairy Tail: 100 Years Quest']"
158,Mio AKIYAMA,Black Hair,Female,"['Band Member', 'Bassist', 'Dandere', 'High School Student', 'Musician', 'School Idol', 'Shy', 'Singer', 'Teenager']","['K-On!', 'K-On!!', 'K-On! Live House!', 'K-On! Movie', 'K-On!!: Plan!', 'K-On! Ura-On!', 'K-On!! Ura-On!!']","['K-On!', 'K-On! Anthology Comic', 'K-On! College', 'K-On! High School']"
159,Rias GREMORY,Red Hair,Female,"['Club President', 'Demon', 'Frequently-Naked', 'Hair Antenna', 'High School Student', 'Wings']","['High School DxD', 'High School DxD BorN', 'High School DxD BorN Specials', 'High School DxD BorN: Yomigaeranai Fushichou', 'High School DxD Hero', 'High School DxD Hero: Holiness Behind the Gym', 'High School DxD NEW', 'High School DxD NEW: Oppai, Tsutsumimasu!', 'High School DxD OVA', 'High School DxD Specials']","['High School DxD', ""High School DxD: Asia & Koneko's Secret Contract!?"", 'High School DxD DX (Light Novel)', 'High School DxD (Light Novel)', 'Shin High School DxD (Light Novel)']"
160,Akame,Black Hair,Female,"['Assassin', 'Big Eater', 'Poison User', 'Rapunzel Hair', 'Sister Complex', 'Stoic', 'Sword Fighter']","['Akame ga Kill!', 'Akame ga Kill! Recap', 'Akame ga Kill! Theater']","['Akame ga Kill!', 'Akame ga Kill! 1.5', 'Akame ga Kill! ZERO', 'Hinowa ga CRUSH!']"
161,Yuji ITADORI,Pink Hair,Male,"['Airhead', 'Cursebearer', 'Exorcist', 'Shared Body', 'Teenager']","['Eve: Kaikai Kitan', 'Juju Sanpo', 'Jujutsu Kaisen', 'Jujutsu Kaisen 2nd Season']","['Jujutsu Kaisen', 'Jujutsu Kaisen: Summer of Ashes, Autumn of Dust (Light Novel)', 'Jujutsu Kaisen: Yoake no Ibara Michi (Light Novel)']"
162,Tomoe,White Hair,Male,"['Animal Ears', 'Hot-Headed', 'Immortal', 'Kitsune', 'Magical Familiar', 'Magic User', 'Youkai']","['Kamisama Kiss', 'Kamisama Kiss 2nd Season', 'Kamisama Kiss: Kako-hen', 'Kamisama Kiss: Kamisama, Shiawase ni Naru', 'Kamisama Kiss OVA']","['Kamisama Kiss', 'Kamisama Kiss: Kurama-yama Yawa (Light Novel)']"
163,Tetsuya KUROKO,Blue Hair,Male,"['Analytical', 'Athlete', 'Basketball Player', 'High School Student', 'Stoic', 'Teenager']","[""Kuroko's Basketball"", ""Kuroko's Basketball 2"", ""Kuroko's Basketball 2: NG-shuu"", ""Kuroko's Basketball 3"", ""Kuroko's Basketball 3: NG-shuu"", ""Kuroko's Basketball: Last Game"", ""Kuroko's Basketball: Last Game - NG-shuu"", ""Kuroko's Basketball: Let's Do That Again"", ""Kuroko's Basketball: NG-shuu"", ""Kuroko's Basketball: Oshaberi Demo Shimasen ka"", ""Kuroko's Basketball: Oshaberi Shiyokka"", ""Kuroko's Basketball: Oshaberi Shiyou ka"", ""Kuroko's Basketball OVA"", ""Kuroko's Basketball: The Greatest Present"", ""Kuroko's Basketball: Tip Off""]","['Kuroko’s Basketball', ""Kuroko's Basketball: Extra Game"", ""Kuroko's Basketball: Replace (Light Novel)"", ""Kuroko's Basketball: Replace Plus""]"
164,Hideyoshi NAGACHIKA,Orange Hair,Male,"['Analytical', 'Eternal Optimist', 'Part Time Employee', 'Teenager', 'University Student']","['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re', 'Tokyo Ghoul:re 2nd Season']","['Tokyo Ghoul', 'Tokyo Ghoul (Light Novel)', 'Tokyo Ghoul:re']"
165,Tsubaki NAKATSUKASA,Black Hair,Female,"['Ninja', 'Ponytail', 'Shapeshifter', 'Teenager']","['Soul Eater', 'Soul Eater Not!']","['Soul Eater', 'Soul Eater Not!']"
166,Kenshin HIMURA,Red Hair,Male,"['Adult', 'Honorable Fighter', 'Orphan', 'Ponytail', 'Samurai', 'Scar', 'Verbal Tic']","['Rurouni Kenshin', 'Rurouni Kenshin DVD-BOX Zenshu Kenshinden', 'Rurouni Kenshin Movie', 'Rurouni Kenshin: New Kyoto Arc', 'Rurouni Kenshin Recap', 'Rurouni Kenshin: Seisouhen', 'Rurouni Kenshin Special', 'Rurouni Kenshin: Special Techniques', 'Rurouni Kenshin: Tsuiokuhen']","['Rurouni Kenshin', 'Rurouni Kenshin: Cherry Blossoms in the Spring', 'Rurouni Kenshin: Restoration', 'Rurouni Kenshin Side Story: The Ex-Con Ashitaro', 'Rurouni Kenshin Uramaku: Honoo wo Suberu', 'Rurouni Kenshin: Voyage to the Moon World (Light Novel)', 'Rurouni Kenshin: Yahiko no Sakabatou']"
167,Grell SUTCLIFFE,Red Hair,Female,"['Agent of the Afterlife', 'Butler', 'LGBT+', 'Masochistic', 'Rapunzel Hair', 'Shinigami', 'Transgender']","['Black Butler', 'Black Butler 2', 'Black Butler 2 Specials', 'Black Butler: Book of Circus', 'Black Butler: Book of the Atlantic', 'Black Butler: His Butler, Performer', 'Black Butler Picture Drama', 'Black Butler Recap']","['Black Butler', 'Black Butler Anthology Comic']"
168,Akamaru,Multicolored Hair,Male,"['Animal', 'Closed Eyes', 'Dog', 'Ninja']","['Boruto: Naruto the Movie', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Naruto', 'Road to Naruto the Movie', ""Rock Lee's Springtime of Youth""]"
169,Ochaco URARAKA,Brown Hair,Female,"['Gravity Manipulator', 'High School Student', 'Rosy Cheeks', 'Superpowers', 'Teenager']","['My Hero Academia', 'My Hero Academia 2', 'My Hero Academia 3', 'My Hero Academia 4', 'My Hero Academia 5', 'My Hero Academia 6', 'My Hero Academia: Hero Notebook', 'My Hero Academia: Jump Festa 2016 Special', 'My Hero Academia: Make It! Do-or-Die Survival Training', 'My Hero Academia Movie 2: Heroes:Rising', ""My Hero Academia Movie 3: World Heroes' Mission"", 'My Hero Academia Movie: Two Heroes', 'My Hero Academia Movie: Two Heroes Picture Drama', 'My Hero Academia: Training of the Dead', 'My Hero Academia (Web)', 'Peace Sign']","['My Hero Academia', 'My Hero Academia: Team Up Missions']"
170,Juvia LOXAR,Blue Hair,Female,"['Elemental Powers', 'Hat', 'Magic User', 'Water Powers']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Girls', 'Fairy Tail', 'Fairy Tail: 100 Years Quest', 'Fairy Tail Gaiden', 'Fairy Tail: Ice Trail', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', ""Mashima Hero's""]"
171,Kon,,Male,"['Comic Relief', 'Cowardly', 'Pervert']","['Bleach', 'Bleach: Jump Festa 2008 Special', 'Bleach: Memories in the Rain', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)']"
172,Klein,Brown Hair,Male,"['Adult', 'Armor', 'Bandana', 'Facial Hair', 'Person in a Strange World', 'Sword Fighter', 'Video Gamer', 'Warrior']","['Sword Art Online', 'Sword Art Online: Alicization', 'Sword Art Online: Alicization - Reflection', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld: Part II', 'Sword Art Online: Extra Edition', 'Sword Art Online II', 'Sword Art Online Movie: Ordinal Scale', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online: Progressive Movie 1 - Aria of a Starless Night', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Sword Art Offline - Extra Edition']","['Sword Art Online 4-koma', 'Sword Art Online: Aincrad', 'Sword Art Online: Aincrad Night of Kirito', 'Sword Art Online: Calibur', 'Sword Art Online: Hollow Realization', 'Sword Art Online (Light Novel)', 'Sword Art Online: Lisbeth Edition', 'Sword Art Online: Ordinal Scale', 'Sword Art Online: Project Alicization', 'Sword Art Online SS: Calibur SS-han (Light Novel)']"
173,Vash the Stampede,Blonde Hair,Male,"['Anti-Gravity Hair', 'Big Eater', 'Gloves', 'Gunslinger', 'Mole', 'Pacifist', 'Piercings', 'Scar', 'Sunglasses', 'Twin']","['Trigun', 'Trigun: Badlands Rumble']","['Trigun', 'Trigun Maximum', 'Trigun: Multiple Bullets']"
174,Rin TOHSAKA,Black Hair,Female,"['Hair Ribbons', 'High School Student', 'Magic User', 'Pigtails', 'Teenager', 'Tsundere']","['Carnival Phantasm', 'Carnival Phantasm: EX Season', 'Carnival Phantasm: HibiChika Special', ""Carnival Phantasm: Illya's Castle"", 'Fate/Extra CCC OP', 'Fate/Extra: Last Encore', 'Fate/Extra Last Encore: Illustrias Geocentric Theory', 'Fate/Kaleid Liner Prisma Illya', 'Fate/Kaleid Liner Prisma Illya 2wei!', 'Fate/kaleid Liner Prisma Illya 2wei Herz!', 'Fate/kaleid Liner Prisma Illya 2wei Herz! Specials', 'Fate/Kaleid Liner Prisma Illya 2wei! OVA', 'Fate/Kaleid Liner Prisma Illya 2wei! Specials', 'Fate/Kaleid Liner Prisma Illya 3rei!!', 'Fate/Kaleid Liner Prisma Illya 3rei!! Specials', 'Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow', 'Fate/Kaleid Liner Prisma Illya: Prisma Phantasm', 'Fate/Kaleid Liner Prisma Illya Specials', 'Fate/Kaleid Liner Prisma Illya: Undoukai de Dance!', 'Fate/stay night', ""Fate/stay night: Heaven's Feel III. spring song"", ""Fate/stay night: Heaven's Feel II. lost butterfly"", ""Fate/stay night: Heaven's Feel I. presage flower"", 'Fate/stay night: TV reproduction', 'Fate/stay night: Unlimited Blade Works', 'Fate/stay night: Unlimited Blade Works 2', 'Fate/stay night: Unlimited Blade Works 2 - Sunny Day', 'Fate/stay night: Unlimited Blade Works Movie', 'Fate/stay night: Unlimited Blade Works Prologue', 'Fate/Zero', 'Fate/Zero 2', 'Fate/Zero Remix', 'Kara no Kyoukai: Cinema Intros', ""Today's Menu for Emiya Family""]","['All Around Type-Moon: Ahnenerbe no Nichijou', 'Fate/Extra', 'Fate/Extra: CCC Fox Tail', 'Fate/Grand Order: Turas Réalta', 'Fate/Hollow Ataraxia', 'Fate/Kaleid Liner Prisma Illya', 'Fate/Kaleid Liner Prisma Illya 2wei!', 'Fate/Kaleid Liner Prisma Illya 3rei!!', 'Fate/Kaleid Liner Prisma Illya (Light Novel)', 'Fate/Stay Night', 'Fate/Stay Night: Comic Battle', ""Fate/Stay Night: Heaven's Feel"", 'Fate/stay Night x Magical Girl Lyrical Nanoha', 'Fate/Tiger Colosseum Upper', 'Fate/Zero (Light Novel)', ""Lord El-Melloi II's Case Files"", 'Type-Moon Gakuen: Chibichuki!']"
